Year,TotalRevenue,BanksFinancialCorporateTaxRevenue,ConveyanceTaxRevenue,EmploymentSecurityControlTaxRevenue,FuelTaxRevenue,GeneralExciseLicenseFeesTaxRevenue,GeneralExciseandUseTaxRevenue,HonoluluCountySurchargeRevenue,CorporateIncomeTaxRevenue,CorporateIncomeTaxDeclarationEstimatedTaxesRevenue,CorporateIncomeTaxPaymentwReturnsRevenue,CorporateIncomeTaxRefundsRevenue,IndividualIncomeTaxRevenue,IndividualIncomeTaxDeclarationEstimatedTaxesRevenue,IndividualIncomeTaxPaymentWReturnsRevenue,IndividualIncomeTaxWithholdingTaxonWagesRevenue,IndividualIncomeTaxRefundsRevenue,InheritanceEstateTaxRevenue,InsurancePremiumsTaxRevenue,LiquorandPermitsTaxRevenue,"MotorVehicleTaxFeesEtcTaxRevenue",PublicServiceCompanyTaxRevenue,TobaccoandLicensesTaxRevenue,TransientAccommodationFeesRevenue,TransientAccommodationTaxRevenue,AllOthersTaxRevenue
2011,5691070.9,23654.4,39086.3,216485.7,199889.0,509.8,2594190.3,219620.1,18836.2,124256.1,15911.9,-120227.2,1460620.6,335378.5,127471.3,1450081.9,-438462.6,17102.4,121930.0,48433.0,144591.7,138658.2,142911.5,10.1,304550.8,536.4
2012,6305604.8,7553.6,43374.5,237076.4,191905.1,493.9,2831689.9,181579.6,110777.2,129919.3,51672.2,-68502.6,1651212.0,407644.9,136202.5,1510888.0,-387976.0,9541.9,127370.3,48611.8,208447.4,160587.2,133927.0,19.6,343779.5,113.9
2013,6640589.6,21019.6,63456.4,297205.5,193767.7,476.0,2915053.2,236584.4,133491.7,172198.8,18485.8,-55104.2,1745614.6,492350.0,159503.7,1585735.6,-476502.9,13611.4,135214.0,49197.4,170975.7,163257.3,122393.9,13.2,384720.4,122.5
2014,6714333.4,41480.0,92949.3,198147.4,192677.6,651.3,2983105.9,241583.4,64726.9,142384.6,26490.2,-102744.3,1820693.3,455793.3,160282.3,1686141.4,-467059.6,14109.3,143111.7,49450.5,175737.7,162501.7,127362.2,12.0,408140.6,203.6
2015,7080605.3,16705.5,60946.8,150264.2,196950.6,580.7,3127491.6,259327.1,76889.6,153295.4,15590.2,-91897.2,2054098.4,558341.7,195956.0,1760208.5,-447121.0,15866.2,149155.0,50508.9,183023.5,164026.6,126111.8,12.5,435024.8,51.6
2016,7258501.0,7463.4,93248.9,110121.2,191223.9,654.7,3206327.2,254947.8,91004.5,181555.2,31330.4,-122391.5,2118218.6,528240.7,209016.5,1856836.4,-468750.2,54056.4,155158.0,51245.2,187915.4,131051.6,123116.8,16.6,484574.2,57.8
2017,7537517.6,14879.7,84028.8,107970.6,202998.3,695.1,3356912.7,270261.4,66713.1,165691.9,16860.6,-116879.9,2263183.1,625542.2,196274.1,1951293.5,-506797.0,22194.5,171107.0,51107.3,189101.5,116773.4,123274.9,19.9,504898.0,300.5
2018,8036635.2,10874.2,93086.2,110441.1,203510.5,725.1,3416662.5,269703.5,154399.3,214675.2,33927.7,-94346.7,2496323.0,643422.1,225725.2,2103327.2,-480471.9,28962.2,163124.7,51797.9,193264.5,124988.4,117577.7,23.9,591796.1,310.2
2019,8498151.6,37780.7,85123.5,104712.0,185442.0,713.1,3620265.7,320151.0,136728.6,235998.2,16258.5,-114003.0,3001950.6,770125.7,283231.1,2152180.2,-206197.3,24245.2,148275.0,52219.3,150100.2,132842.5,111750.1,23.9,637374.8,88.5
2020,5070590.8,44800.5,57022.8,113890.0,147153.4,671.7,3023376.5,310387.3,39536.8,193754.1,20570.3,-171426.7,3022417.7,790568.9,303680.6,2092723.8,-171426.7,43812.2,193008.0,45601.0,136115.7,133195.8,109314.5,16.9,282016.4,40.5
2021,5090537.4,7022.4,141006.2,108859.2,165170.4,783.8,3608560.5,356949.4,234496.4,303062.0,36389.0,-101208.1,3795595.5,1183905.4,428125.1,2280998.6,-101208.1,24156.6,207247.0,51083.0,138513.4,117188.5,104078.8,29.3,508298.1,40.0
2022,,,,,,,4266535.3,,279243.1,326187.2,42925.6,-86463.8,4026792.0,1425857.7,536762.8,2483696.1,-423989.8,,,,,,,,827266.8,
2023,,,,,,,4435192.3,,326703.9,42954.7,385020.3,-98875.0,3386590.0,-130409.4,1614502.7,2665728.7,-764698.0,,,,,,,,829327.0,